id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
1;1LV_all;small;CGGM;1;0.069011855;2.75E-14;8.88E-16;14.75055704;1;0.635080645;0.776818742;0.635080645;0
2;1LV_all;small;CGGM;1;0.089429835;4.59E-07;1.17E-06;6.037157319;1;0.564516129;0.721649485;0.564516129;0
3;1LV_all;small;CGGM;1;0.080513782;4.36E-09;5.84E-10;8.932557157;1;0.677419355;0.807692308;0.677419355;0
4;1LV_all;small;CGGM;1;0.080780084;0.000206506;7.33E-15;13.83386603;1;0.588709677;0.741116751;0.588709677;0
5;1LV_all;small;CGGM;1;0.077130132;5.27E-13;9.69E-14;12.71264623;1;0.598790323;0.749054224;0.598790323;0
6;1LV_all;small;CGGM;1;0.07902848;2.05E-05;1.91E-11;10.41793664;1;0.635080645;0.776818742;0.635080645;0
7;1LV_all;small;CGGM;1;0.08379416;1.96E-06;4.19E-08;7.076755981;1;0.510080645;0.675567423;0.510080645;0
8;1LV_all;small;CGGM;1;0.08047911;4.79E-11;2.95E-12;11.22914799;1;0.663306452;0.797575758;0.663306452;0
9;1LV_all;small;CGGM;1;0.078577341;1.17E-07;6.04E-09;7.917933066;1;0.637096774;0.778325123;0.637096774;0
10;1LV_all;small;CGGM;1;0.08343993;3.81E-14;1.66E-11;13.11804503;1;0.629032258;0.772277228;0.629032258;0
11;1LV_all;small;CGGM;1;0.076232063;1.22E-15;2.91E-14;14.61261017;1;0.677419355;0.807692308;0.677419355;0
12;1LV_all;small;CGGM;1;0.090963709;2.07E-12;1.06E-10;11.38299966;1;0.576612903;0.731457801;0.576612903;0
13;1LV_all;small;CGGM;1;0.100994499;3.23E-13;2.70E-11;12.18976748;1;0.483870968;0.652173913;0.483870968;0
14;1LV_all;small;CGGM;1;0.094160578;2.19E-09;5.84E-12;10.93255716;1;0.665322581;0.799031477;0.665322581;0
15;1LV_all;small;CGGM;1;0.091554146;4.49E-09;8.71E-13;11.75895185;1;0.550403226;0.710013004;0.550403226;0
16;1LV_all;small;CGGM;1;0.097304958;7.18E-10;3.20E-10;9.193820026;1;0.45766129;0.627939142;0.45766129;0
17;1LV_all;small;CGGM;1;0.078603352;3.37E-07;2.75E-14;13.25963731;1;0.612903226;0.76;0.612903226;0
18;1LV_all;small;CGGM;1;0.084206752;1.96E-11;1.30E-14;13.58502665;1;0.602822581;0.752201258;0.602822581;0
19;1LV_all;small;CGGM;1;0.07166467;1.43E-11;7.23E-14;12.83983171;1;0.653225806;0.790243902;0.653225806;0
20;1LV_all;small;CGGM;1;0.080582868;5.14E-12;1.10E-09;10.98800689;1;0.709677419;0.830188679;0.709677419;0
21;1LV_all;small;CGGM;1;0.076557953;5.29E-08;4.46E-08;7.049635146;1;0.544354839;0.704960836;0.544354839;0
22;1LV_all;small;CGGM;1;0.074317375;1.41E-14;6.91E-10;13.54975089;1;0.673387097;0.804819277;0.673387097;0
23;1LV_all;small;CGGM;1;0.088682305;2.22E-14;1.40E-13;13.35261703;1;0.570564516;0.726572529;0.570564516;0
24;1LV_all;small;CGGM;1;0.064163323;0.049060698;1.63E-13;12.4867824;1;0.647177419;0.785801714;0.647177419;0
25;1LV_all;small;CGGM;1;0.092008956;1.76E-12;5.17E-06;11.45345734;1;0.637096774;0.778325123;0.637096774;0
26;1LV_all;small;CGGM;1;0.073287211;1.25E-08;1.86E-08;7.602059991;1;0.70766129;0.828807556;0.70766129;0
27;1LV_all;small;CGGM;1;0.094528594;3.06E-12;3.33E-15;14.17652577;1;0.675403226;0.806257521;0.675403226;0
28;1LV_all;small;CGGM;1;0.071436276;2.17E-05;0.478967043;4.36251027;1;0.629032258;0.772277228;0.629032258;0
29;1LV_all;small;CGGM;1;0.074685094;3.19E-12;6.42E-12;11.19517932;1;0.655241935;0.791717418;0.655241935;0
30;1LV_all;small;CGGM;1;0.077279299;3.38E-08;1.89E-05;7.170053304;1;0.683467742;0.811976048;0.683467742;0
31;1LV_all;small;CGGM;1;0.087136065;1.91E-09;9.41E-05;8.417936637;1;0.592741935;0.744303797;0.592741935;0
32;1LV_all;small;CGGM;1;0.092113377;0.000597069;3.22E-10;9.191114133;1;0.681451613;0.810551559;0.681451613;0
33;1LV_all;small;CGGM;1;0.082453581;0.04801061;6.88E-15;13.86138157;1;0.64516129;0.784313725;0.64516129;0
34;1LV_all;small;CGGM;1;0.079950913;3.48E-05;8.61E-11;9.763966853;1;0.677419355;0.807692308;0.677419355;0
35;1LV_all;small;CGGM;1;0.078156575;2.81E-06;1.22E-15;14.61261017;1;0.653225806;0.790243902;0.653225806;0
36;1LV_all;small;CGGM;1;0.075750159;2.71E-12;0.119811747;11.26600071;1;0.536290323;0.69816273;0.536290323;0
37;1LV_all;small;CGGM;1;0.079290546;6.13E-13;5.05E-11;11.91150953;1;0.629032258;0.772277228;0.629032258;0
38;1LV_all;small;CGGM;1;0.065087856;0.047742648;2.60E-10;9.283996656;1;0.689516129;0.816229117;0.689516129;0
39;1LV_all;small;CGGM;1;0.098392698;7.18E-13;5.33E-14;12.9722428;1;0.443548387;0.61452514;0.443548387;0
40;1LV_all;small;CGGM;1;0.090434036;2.54E-11;1.84E-13;12.43415218;1;0.657258065;0.793187348;0.657258065;0
41;1LV_all;small;CGGM;1;0.082969578;1.19E-13;2.60E-08;12.62342304;1;0.631048387;0.773794808;0.631048387;0
42;1LV_all;small;CGGM;1;0.088413857;2.40E-09;6.66E-15;13.87549578;1;0.747983871;0.855824683;0.747983871;0
43;1LV_all;small;CGGM;1;0.079382021;1.03E-13;4.00E-10;12.68613278;1;0.610887097;0.75844806;0.610887097;0
44;1LV_all;small;CGGM;1;0.085954266;3.33E-15;7.34E-06;14.17652577;1;0.558467742;0.716688228;0.558467742;0
45;1LV_all;small;CGGM;1;0.090383093;1.16E-08;1.62E-13;12.48945499;1;0.558467742;0.716688228;0.558467742;0
46;1LV_all;small;CGGM;1;0.072338655;0.000958447;1.73E-06;5.460923901;1;0.655241935;0.791717418;0.655241935;0
47;1LV_all;small;CGGM;1;0.0728854;1.21E-09;1.02E-11;10.69036983;1;0.659274194;0.794653706;0.659274194;0
48;1LV_all;small;CGGM;1;0.081709676;9.10E-15;4.94E-09;13.73992861;1;0.560483871;0.718346253;0.560483871;0
49;1LV_all;small;CGGM;1;0.082307339;6.56E-07;0.001108863;5.882066165;1;0.689516129;0.816229117;0.689516129;0
50;1LV_all;small;CGGM;1;0.079787498;1.42E-14;0.00089427;13.54668166;1;0.627016129;0.770755886;0.627016129;0
51;1LV_all;small;CGGM;1;0.093861548;1.58E-09;1.08E-14;13.66554625;1;0.540322581;0.701570681;0.540322581;0
52;1LV_all;small;CGGM;1;0.087228497;6.85E-11;3.31E-14;13.17914201;1;0.502016129;0.668456376;0.502016129;0
53;1LV_all;small;CGGM;1;0.085734015;2.91E-12;1.73E-11;11.23507702;1;0.64516129;0.784313725;0.64516129;0
54;1LV_all;small;CGGM;1;0.080811929;7.30E-11;0.000831802;9.835647144;1;0.538306452;0.699868938;0.538306452;0
55;1LV_all;small;CGGM;1;0.113265361;5.55E-16;2.55E-15;14.95467702;1;0.451612903;0.622222222;0.451612903;0
56;1LV_all;small;CGGM;1;0.080285965;1.30E-07;1.14E-08;7.642065153;1;0.631048387;0.773794808;0.631048387;0
57;1LV_all;small;CGGM;1;0.074039667;3.99E-08;5.85E-13;11.93181414;1;0.679435484;0.809123649;0.679435484;0
