id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
1;1LV_all;small;CGGM;1;0.068144727;0.00875522;0.003102794;2.207217061;1;0.375;0.545454545;0.375;0
2;1LV_all;small;CGGM;1;0.090384956;0.070593382;0.002544072;2.293440606;1;0.387096774;0.558139535;0.387096774;0
3;1LV_all;small;CGGM;1;0.059704213;0.02458006;6.04E-05;3.917933066;1;0.469758065;0.639231824;0.469758065;0
4;1LV_all;small;CGGM;1;0.078473018;0.036362816;0.005053298;1.995395094;1;0.330645161;0.496969697;0.330645161;0
5;1LV_all;small;CGGM;1;0.057138251;0.016919132;0.00980696;1.7074356;1;0.381048387;0.551824818;0.381048387;0
6;1LV_all;small;CGGM;1;0.080236683;0.000444872;0.103689381;3.050734932;1;0.423387097;0.59490085;0.423387097;0
7;1LV_all;small;CGGM;1;0.092575873;0.000506101;1.41E-05;4.549750892;1;0.276209677;0.4328594;0.276209677;0
8;1LV_all;small;CGGM;1;0.076378616;0.000267739;0.040281656;3.271258367;1;0.377016129;0.547584187;0.377016129;0
9;1LV_all;small;CGGM;1;0.074168966;0.239944966;4.23E-05;4.072629637;1;0.441532258;0.612587413;0.441532258;0
10;1LV_all;small;CGGM;1;0.082018599;2.74E-05;7.74E-05;4.261219442;1;0.288306452;0.447574335;0.288306452;0
11;1LV_all;small;CGGM;1;0.06316561;0.039746233;9.74E-07;5.710411047;1;0.375;0.545454545;0.375;0
12;1LV_all;small;CGGM;1;0.105236152;4.88E-07;0.001280118;6.010550182;1;0.211693548;0.349417637;0.211693548;0
13;1LV_all;small;CGGM;1;0.111247508;0.000304164;0.003468465;3.215862193;1;0.227822581;0.371100164;0.227822581;0
14;1LV_all;small;CGGM;1;0.090330364;0.00517381;0.001402858;2.551956291;1;0.381048387;0.551824818;0.381048387;0
15;1LV_all;small;CGGM;1;0.06970085;0.007460056;1.25E-05;4.602059991;1;0.461693548;0.631724138;0.461693548;0
16;1LV_all;small;CGGM;1;0.087829285;4.14E-06;5.11E-08;6.990549104;1;0.272177419;0.427892235;0.272177419;0
17;1LV_all;small;CGGM;1;0.150454806;0.020134711;0.001456894;2.53554205;1;0.133064516;0.234875445;0.133064516;0
18;1LV_all;small;CGGM;1;0.062245542;7.86E-07;0.016402144;5.803547458;1;0.370967742;0.541176471;0.370967742;0
19;1LV_all;small;CGGM;1;0.091189819;0.000432847;0.001293698;3.062635593;1;0.3125;0.476190476;0.3125;0
20;1LV_all;small;CGGM;1;0.09332819;0.001985216;3.01E-05;4.220403509;1;0.258064516;0.41025641;0.258064516;0
21;1LV_all;small;CGGM;1;0.06076518;0.001348993;3.36E-08;7.172630727;1;0.530241935;0.693017128;0.530241935;0
22;1LV_all;small;CGGM;1;0.091772688;1.26E-05;4.20E-05;4.598599459;1;0.201612903;0.33557047;0.201612903;0
23;1LV_all;small;CGGM;1;0.081131947;0.320144662;1.45E-07;6.537602002;1;0.348790323;0.517189836;0.348790323;0
24;1LV_all;small;CGGM;1;0.129624588;1.81E-05;0.096473539;4.441291429;1;0.262096774;0.415335463;0.262096774;0
25;1LV_all;small;CGGM;1;0.062915685;0.003667269;8.53E-05;3.768020973;1;0.425403226;0.59688826;0.425403226;0
26;1LV_all;small;CGGM;1;0.078043438;0.007269879;0.001412735;2.5489093;1;0.35483871;0.523809524;0.35483871;0
27;1LV_all;small;CGGM;1;0.06808424;0.12500813;2.55E-06;5.292429824;1;0.447580645;0.618384401;0.447580645;0
28;1LV_all;small;CGGM;1;0.090733128;0.000512581;0.333214078;2.9892075;1;0.3125;0.476190476;0.3125;0
29;1LV_all;small;CGGM;1;0.085249613;0.000756074;0.000451082;3.044714507;1;0.461693548;0.631724138;0.461693548;0
30;1LV_all;small;CGGM;1;0.060331086;0.000534143;0.03844923;2.971312463;1;0.346774194;0.51497006;0.346774194;0
31;1LV_all;small;CGGM;1;0.073107644;0.005704883;3.26E-08;7.185752404;1;0.421370968;0.592907801;0.421370968;0
32;1LV_all;small;CGGM;1;0.072548465;0.794752036;0.14441591;0.539354963;1;0.41733871;0.588904694;0.41733871;0
33;1LV_all;small;CGGM;1;0.086940154;0.000232168;6.69E-05;3.873543887;1;0.306451613;0.469135802;0.306451613;0
34;1LV_all;small;CGGM;1;0.088923954;0.0295051;1.98E-07;6.402304814;1;0.385080645;0.556040757;0.385080645;0
35;1LV_all;small;CGGM;1;0.074641544;2.16E-05;0.002261413;4.364516253;1;0.403225806;0.574712644;0.403225806;0
36;1LV_all;small;CGGM;1;0.076114562;0.008062378;9.77E-06;4.709075441;1;0.320564516;0.485496183;0.320564516;0
37;1LV_all;small;CGGM;1;0.069291077;1.73E-06;0.00127577;5.460923901;1;0.441532258;0.612587413;0.441532258;0
38;1LV_all;small;CGGM;1;0.069272558;0.0030128;0.034713264;2.219999702;1;0.310483871;0.473846154;0.310483871;0
39;1LV_all;small;CGGM;1;0.069254585;2.27E-06;1.01E-05;5.342944147;1;0.385080645;0.556040757;0.385080645;0
40;1LV_all;small;CGGM;1;0.061707346;0.007387282;1.02E-07;6.690369833;1;0.427419355;0.598870056;0.427419355;0
41;1LV_all;small;CGGM;1;0.09884832;0.034367533;0.000633581;2.897167859;1;0.227822581;0.371100164;0.227822581;0
42;1LV_all;small;CGGM;1;0.07597619;2.89E-15;2.73E-05;14.23807216;1;0.41733871;0.588904694;0.41733871;0
43;1LV_all;small;CGGM;1;0.073129707;0.23669371;0.000619078;2.907224633;1;0.346774194;0.51497006;0.346774194;0
44;1LV_all;small;CGGM;1;0.06383656;0.000264647;0.000134609;3.569895906;1;0.502016129;0.668456376;0.502016129;0
45;1LV_all;small;CGGM;1;0.065329742;0.004207928;4.34E-08;7.061480275;1;0.35483871;0.523809524;0.35483871;0
46;1LV_all;small;CGGM;1;0.075444783;0.127183377;0.189403203;0.594539652;1;0.358870968;0.528189911;0.358870968;0
47;1LV_all;small;CGGM;1;0.086178319;0.774913197;1.66E-09;8.478861916;1;0.278225806;0.43533123;0.278225806;0
48;1LV_all;small;CGGM;1;0.075999532;2.11E-09;1.81E-06;8.374687549;1;0.324596774;0.490106545;0.324596774;0
49;1LV_all;small;CGGM;1;0.07812743;0.000342021;0.000550968;3.164917232;1;0.302419355;0.464396285;0.302419355;0
50;1LV_all;small;CGGM;1;0.063487715;0.016950954;0.362335602;1.469775859;1;0.421370968;0.592907801;0.421370968;0
51;1LV_all;small;CGGM;1;0.071852968;0.088054159;1.02E-05;4.690369833;1;0.338709677;0.506024096;0.338709677;0
52;1LV_all;small;CGGM;1;0.077203889;0.077257452;0.009519774;1.720343366;1;0.368951613;0.539027982;0.368951613;0
53;1LV_all;small;CGGM;1;0.0661715;1.47E-05;6.96E-08;6.856360765;1;0.461693548;0.631724138;0.461693548;0
54;1LV_all;small;CGGM;1;0.080855962;0.009922978;0.021662596;1.702327976;1;0.302419355;0.464396285;0.302419355;0
55;1LV_all;small;CGGM;1;0.094243974;1.92E-14;0.669470033;13.41566878;1;0.282258065;0.440251572;0.282258065;0
56;1LV_all;small;CGGM;1;0.104995506;2.03E-06;2.20E-08;7.356547324;1;0.209677419;0.346666667;0.209677419;0
57;1LV_all;small;CGGM;1;0.078384064;0.000262247;3.86E-06;5.1123827;1;0.372983871;0.543318649;0.372983871;0
58;1LV_all;small;CGGM;1;0.088953744;0.000671521;0.006272838;2.871910406;1;0.264112903;0.417862839;0.264112903;0
59;1LV_all;small;CGGM;1;0.106339644;0.400249897;8.78E-06;4.755475488;1;0.25;0.4;0.25;0
60;1LV_all;small;CGGM;1;0.07153239;0.000505194;5.85E-07;5.931814138;1;0.330645161;0.496969697;0.330645161;0
61;1LV_all;small;CGGM;1;0.071842041;0.000389969;5.97E-05;3.922995673;1;0.381048387;0.551824818;0.381048387;0
62;1LV_all;small;CGGM;1;0.069646145;1.41E-05;3.18E-06;5.196542884;1;0.356854839;0.526002972;0.356854839;0
63;1LV_all;small;CGGM;1;0.088085752;6.10E-05;1.49E-06;5.525783736;1;0.306451613;0.469135802;0.306451613;0
64;1LV_all;small;CGGM;1;0.074116826;6.91E-09;0.000123257;7.859491957;1;0.278225806;0.43533123;0.278225806;0
65;1LV_all;small;CGGM;1;0.063405144;0.047147847;0.005699123;1.943161974;1;0.419354839;0.590909091;0.419354839;0
66;1LV_all;small;CGGM;1;0.067473746;0.014802269;0.001507632;2.520674657;1;0.401209677;0.572661871;0.401209677;0
67;1LV_all;small;CGGM;1;0.098960561;0.125149028;0.00365154;2.136493942;1;0.197580645;0.32996633;0.197580645;0
68;1LV_all;small;CGGM;1;0.088625464;0.099688816;8.27E-05;3.781464495;1;0.324596774;0.490106545;0.324596774;0
69;1LV_all;small;CGGM;1;0.088492794;0.204957366;0.079701812;0.797501809;1;0.296370968;0.457231726;0.296370968;0
70;1LV_all;small;CGGM;1;0.066073619;0.033135273;0.000275962;3.258120721;1;0.358870968;0.528189911;0.358870968;0
71;1LV_all;small;CGGM;1;0.086158517;0.354619922;8.19E-05;3.785686103;1;0.247983871;0.397415186;0.247983871;0
72;1LV_all;small;CGGM;1;0.076862956;0.164517603;1.74E-06;5.458420756;1;0.389112903;0.560232221;0.389112903;0
73;1LV_all;small;CGGM;1;0.065163755;1.14E-05;9.67E-05;4.642065153;1;0.399193548;0.570605187;0.399193548;0
74;1LV_all;small;CGGM;1;0.078749933;0.000624578;0.05379844;2.903383322;1;0.322580645;0.487804878;0.322580645;0
75;1LV_all;small;CGGM;1;0.101470076;5.84E-06;4.44E-05;4.932557157;1;0.258064516;0.41025641;0.258064516;0
76;1LV_all;small;CGGM;1;0.067423604;0.303550745;7.92E-06;4.800244823;1;0.372983871;0.543318649;0.372983871;0
77;1LV_all;small;CGGM;1;0.074933165;0.002713065;9.54E-08;6.71942163;1;0.475806452;0.644808743;0.475806452;0
78;1LV_all;small;CGGM;1;0.070793556;0.000118097;1.58E-08;7.500312917;1;0.409274194;0.580829757;0.409274194;0
79;1LV_all;small;CGGM;1;0.08686252;0.001183214;1.18E-05;4.627087997;1;0.302419355;0.464396285;0.302419355;0
80;1LV_all;small;CGGM;1;0.075934253;2.18E-05;0.132481216;4.360513511;1;0.304435484;0.466769706;0.304435484;0
