id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
1;HDLVS_sporadic;small;CGGM;4;0.077309986;8.97E-07;5.70E-06;5.746142354;0.709677419;0.666666667;0.6875;0.666666667;0.018789144
2;HDLVS_sporadic;small;CGGM;4;0.098241385;0.117349408;0.251226104;0.629489103;0.733333333;0.578947368;0.647058824;0.578947368;0.016877637
3;HDLVS_sporadic;small;CGGM;4;0.085739968;0.04692061;0.021192904;1.372779525;0.96;0.631578947;0.761904762;0.631578947;0.002109705
4;HDLVS_sporadic;small;CGGM;4;0.099632905;0.017467998;0.766114797;1.45672687;0.774193548;0.648648649;0.705882353;0.648648649;0.014736842
5;HDLVS_sporadic;small;CGGM;4;0.098707777;0.000639115;0.000205325;3.386527919;0.8;0.631578947;0.705882353;0.631578947;0.012658228
6;HDLVS_sporadic;small;CGGM;4;0.108861463;2.41E-06;0.022146704;5.316496397;0.827586207;0.666666667;0.738461538;0.666666667;0.010504202
7;HDLVS_sporadic;small;CGGM;4;0.10155095;0.000357688;5.80E-08;6.935187052;0.666666667;0.722222222;0.693333333;0.722222222;0.027310924
8;HDLVS_sporadic;small;CGGM;4;0.128310925;1.87E-07;0.000999967;6.426636287;0.617647059;0.567567568;0.591549296;0.567567568;0.027368421
9;HDLVS_sporadic;small;CGGM;4;0.100492871;0.002773186;1.91E-05;4.418057816;0.904761905;0.5;0.644067797;0.5;0.004219409
10;HDLVS_sporadic;small;CGGM;4;0.117229005;3.31E-07;0.015858203;6.179269407;0.862068966;0.675675676;0.757575758;0.675675676;0.008421053
11;HDLVS_sporadic;small;CGGM;4;0.094333993;0.144225442;0.00388285;2.109819443;0.916666667;0.594594595;0.721311475;0.594594595;0.004210526
12;HDLVS_sporadic;small;CGGM;4;0.097346755;8.40E-08;0.005877094;6.774947542;0.692307692;0.486486486;0.571428571;0.486486486;0.016842105
13;HDLVS_sporadic;small;CGGM;4;0.105149333;0.858765232;4.91E-08;7.007751037;0.612903226;0.542857143;0.575757576;0.542857143;0.025157233
14;HDLVS_sporadic;small;CGGM;4;0.102033803;8.23E-06;0.020173632;4.783426477;0.863636364;0.513513514;0.644067797;0.513513514;0.006315789
15;HDLVS_sporadic;small;CGGM;4;0.126469152;0.433878626;2.61E-08;7.282070782;0.636363636;0.583333333;0.608695652;0.583333333;0.025210084
16;HDLVS_sporadic;small;CGGM;4;0.117680163;0.000507756;3.03E-05;4.216950165;0.805555556;0.743589744;0.773333333;0.743589744;0.014799154
17;HDLVS_sporadic;small;CGGM;4;0.117223444;0.00044158;0.033828231;3.053960318;0.709677419;0.594594595;0.647058824;0.594594595;0.018947368
18;HDLVS_sporadic;small;CGGM;4;0.103510902;0.064485052;0.0013451;2.570215415;0.744186047;0.842105263;0.790123457;0.842105263;0.023206751
19;HDLVS_sporadic;small;CGGM;4;0.123148825;6.51E-05;3.88E-12;11.11041092;0.806451613;0.641025641;0.714285714;0.641025641;0.012684989
20;HDLVS_sporadic;small;CGGM;4;0.101336177;0.001237582;0.000225019;3.346750262;0.866666667;0.742857143;0.8;0.742857143;0.008385744
21;HDLVS_sporadic;small;CGGM;4;0.114524122;0.005844946;1.96E-12;11.4062495;0.647058824;0.594594595;0.61971831;0.594594595;0.025263158
22;HDLVS_sporadic;small;CGGM;4;0.114784529;0.000159485;1.63E-11;10.48576704;0.826086957;0.542857143;0.655172414;0.542857143;0.008385744
