"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0019221" "BP" "GO:0019221" "cytokine-mediated signaling pathway" "35/92" "472/18723" 2.57209089263002e-32 7.38704504363342e-29 4.39962915844609e-29 "IL6R/IL1B/IL1RN/STAT1/CX3CR1/CCR2/CCR5/IL6ST/IFNGR1/FADD/TBK1/TRAF3/CCL3/STAT3/IRF3/ADAM17/CD4/CXCL1/CXCL10/CXCL5/CXCL8/IFNAR1/IFNAR2/IFNG/IL18/IL2RA/IL7/JAK1/JAK2/MAVS/STAT2/TNF/TYK2/MX1/MAPK3" 35
"GO:0001819" "BP" "GO:0001819" "positive regulation of cytokine production" "33/92" "467/18723" 1.09120108294991e-29 1.56696475511607e-26 9.33264084101895e-27 "IL6R/IL1B/STAT1/CCR2/TLR3/IL6ST/IFNGR1/FADD/TBK1/CCL3/STAT3/TICAM1/IRF3/TLR7/SLC11A1/ADAM17/CD14/CD4/DDX58/FURIN/HLA-A/IFIH1/IFNG/IL10/IL18/IL7/JAK2/MAVS/NLRP3/RSAD2/SERPINE1/TLR4/TNF" 33
"GO:0032496" "BP" "GO:0032496" "response to lipopolysaccharide" "23/92" "343/18723" 4.76998395351011e-20 4.56646463816035e-17 2.71972769279085e-17 "IL1B/CX3CR1/CCR5/CCL3/TICAM1/IRF3/SLC11A1/ADAM17/CD14/CXCL1/CXCL10/CXCL5/CXCL8/IFNAR1/IL10/IL18/JAK2/NFKB1/NLRP3/SERPINE1/TLR4/TNF/MAPK3" 23
"GO:0002237" "BP" "GO:0002237" "response to molecule of bacterial origin" "23/92" "363/18723" 1.70534581863971e-19 1.22443829778331e-16 7.29259725076192e-17 "IL1B/CX3CR1/CCR5/CCL3/TICAM1/IRF3/SLC11A1/ADAM17/CD14/CXCL1/CXCL10/CXCL5/CXCL8/IFNAR1/IL10/IL18/JAK2/NFKB1/NLRP3/SERPINE1/TLR4/TNF/MAPK3" 23
"GO:0009615" "BP" "GO:0009615" "response to virus" "23/92" "367/18723" 2.18007491604081e-19 1.25223503177384e-16 7.45815102856068e-17 "STAT1/TLR3/IFNGR1/UNC93B1/FADD/TBK1/IRF9/TRAF3/TICAM1/IRF3/TLR7/CXCL10/DDX58/IFIH1/IFNAR1/IFNAR2/IFNG/MAVS/NFKB1/RSAD2/STAT2/TNF/MX1" 23
"GO:0071216" "BP" "GO:0071216" "cellular response to biotic stimulus" "20/92" "246/18723" 3.89346633682798e-19 1.44073776906611e-16 8.58084912304803e-17 "IL1B/CX3CR1/CCR5/CCL3/TICAM1/IRF3/CD14/CXCL1/CXCL10/CXCL5/CXCL8/HSPA5/IL10/IL18/NFKB1/NLRP3/SERPINE1/TLR4/TNF/MAPK3" 20
"GO:0071222" "BP" "GO:0071222" "cellular response to lipopolysaccharide" "19/92" "209/18723" 3.953082201758e-19 1.44073776906611e-16 8.58084912304803e-17 "IL1B/CX3CR1/CCR5/CCL3/TICAM1/IRF3/CD14/CXCL1/CXCL10/CXCL5/CXCL8/IL10/IL18/NFKB1/NLRP3/SERPINE1/TLR4/TNF/MAPK3" 19
"GO:0032103" "BP" "GO:0032103" "positive regulation of response to external stimulus" "24/92" "427/18723" 4.01319712831785e-19 1.44073776906611e-16 8.58084912304803e-17 "IL6R/IL1B/CX3CR1/CCR2/TLR3/IL6ST/FADD/TBK1/CCL3/IRF3/TLR7/ADAM17/CXCL10/CXCL8/IFNG/IL18/JAK2/MAVS/NRP1/SERPINE1/TLR4/TNF/VEGFA/MAPK3" 24
"GO:0071219" "BP" "GO:0071219" "cellular response to molecule of bacterial origin" "19/92" "221/18723" 1.1443836691196e-18 3.65185544190167e-16 2.17499820154311e-16 "IL1B/CX3CR1/CCR5/CCL3/TICAM1/IRF3/CD14/CXCL1/CXCL10/CXCL5/CXCL8/IL10/IL18/NFKB1/NLRP3/SERPINE1/TLR4/TNF/MAPK3" 19
"GO:0051607" "BP" "GO:0051607" "defense response to virus" "19/92" "265/18723" 3.49923445345088e-17 9.13618304573721e-15 5.44139328885902e-15 "STAT1/TLR3/UNC93B1/FADD/TBK1/IRF9/TRAF3/TICAM1/IRF3/TLR7/CXCL10/DDX58/IFIH1/IFNAR2/IFNG/MAVS/RSAD2/STAT2/MX1" 19
